,Raw,Posted_date,Country_name,certificate,Website,Total
291,0,7/5/21,Vietname,Auto Service,Indeed,0
292,"
                    Trang 1/1 việc làm",7/5/21,Vietname,Communication,Indeed,1 
293,0,7/5/21,Vietname,Computer Support,Indeed,0
294,0,7/5/21,Vietname,Database,Indeed,0
295,0,7/5/21,Vietname,Tourism Management,Indeed,0
296,0,7/5/21,Vietname,Marriage Family,Indeed,0
297,0,7/5/21,Vietname,Project Management,Indeed,0
298,0,7/5/21,Vietname,TEFL,Indeed,0
299,0,7/5/21,Vietname,Web Development,Indeed,0
300,0,7/5/21,Vietname,Business Administration,Indeed,0
301,0,7/5/21,Vietname,Healthcare Administration,Indeed,0
302,0,7/5/21,Vietname,Administrative Assistant,Indeed,0
303,0,7/5/21,Vietname,Agribusiness Management,Indeed,0
304,0,7/5/21,Vietname,Commercial Fundamentals,Indeed,0
305,0,7/5/21,Vietname,Community Health,Indeed,0
306,0,7/5/21,Vietname,Construction Field,Indeed,0
307,0,7/5/21,Vietname,Entrepreneurship,Indeed,0
308,0,7/5/21,Vietname,Family History Research,Indeed,0
309,0,7/5/21,Vietname,Fundamentals of Medical Coding,Indeed,0
310,0,7/5/21,Vietname,Social Media Marketing,Indeed,0
311,0,7/5/21,Vietname,Computer Programming,Indeed,0
312,0,7/5/21,Saudi Arabia,Hospital Administration,Indeed,0
313,0,7/5/21,Saudi Arabia,Public Health,Indeed,0
314,0,7/5/21,Saudi Arabia,Accounting,Indeed,0
315,0,7/5/21,Saudi Arabia,Auto Service,Indeed,0
316,0,7/5/21,Saudi Arabia,Communication,Indeed,0
317,0,7/5/21,Saudi Arabia,Computer Support,Indeed,0
318,0,7/5/21,Saudi Arabia,Database,Indeed,0
319,0,7/5/21,Saudi Arabia,Tourism Management,Indeed,0
320,0,7/5/21,Saudi Arabia,Marriage Family,Indeed,0
321,0,7/5/21,Saudi Arabia,Project Management,Indeed,0
322,0,7/5/21,Saudi Arabia,TEFL,Indeed,0
323,0,7/5/21,Saudi Arabia,Web Development,Indeed,0
324,0,7/5/21,Saudi Arabia,Business Administration,Indeed,0
325,0,7/5/21,Saudi Arabia,Healthcare Administration,Indeed,0
326,0,7/5/21,Saudi Arabia,Administrative Assistant,Indeed,0
327,0,7/5/21,Saudi Arabia,Agribusiness Management,Indeed,0
328,0,7/5/21,Saudi Arabia,Commercial Fundamentals,Indeed,0
329,0,7/5/21,Saudi Arabia,Community Health,Indeed,0
330,0,7/5/21,Saudi Arabia,Construction Field,Indeed,0
331,0,7/5/21,Saudi Arabia,Entrepreneurship,Indeed,0
332,0,7/5/21,Saudi Arabia,Family History Research,Indeed,0
333,0,7/5/21,Saudi Arabia,Fundamentals of Medical Coding,Indeed,0
334,0,7/5/21,Saudi Arabia,Social Media Marketing,Indeed,0
335,0,7/5/21,Saudi Arabia,Computer Programming,Indeed,0
336,0,7/5/21,Saudi Arabia,,Indeed,0
